product_name,product_name_zh,product_name_ja,product_name_es,price_1688_cny,price_alibaba_usd,price_amazon_usd,price_amazon_br_brl,price_ml_brl,price_rakuten_jpy,price_allegro_pln,moq,supplier_name,supplier_rating,supplier_address,category,source_urls,scraped_at
"Capinha iPhone 16","iPhone 16手机壳","iPhone 16ケース","Funda iPhone 16",0.45,0.08,12.99,45.90,39.90,1200,29.90,10,"Shenzhen TechCo",4.8,"Shenzhen, Guangdong","Acessorios de Celular","https://1688.com/example1,https://alibaba.com/example1",2026-07-21T10:00:00Z
"Capinha Samsung S25","三星S25手机壳","Galaxy S25ケース","Funda Samsung S25",0.50,0.09,11.99,42.90,37.90,1100,27.90,10,"Shenzhen TechCo",4.8,"Shenzhen, Guangdong","Acessorios de Celular","https://1688.com/example2,https://alibaba.com/example2",2026-07-21T10:00:00Z
"Pelicula de Vidro iPhone 16","iPhone 16钢化膜","iPhone 16ガラスフィルム","Mica iPhone 16",0.85,0.15,8.99,32.90,28.90,900,22.90,20,"Guangzhou GlassPro",4.6,"Guangzhou, Guangdong","Acessorios de Celular","https://1688.com/example3,https://alibaba.com/example3",2026-07-21T10:00:00Z
"Carregador wireless","无线充电器","ワイヤレス充電器","Cargador inalambrico",3.50,0.65,19.99,89.90,79.90,2500,49.90,5,"Dongguan PowerTech",4.7,"Dongguan, Guangdong","Acessorios de Celular","https://1688.com/example4,https://alibaba.com/example4",2026-07-21T10:00:00Z
"Cabo USB-C 1m","USB-C数据线1米","USB-Cケーブル1m","Cable USB-C 1m",1.20,0.22,6.99,24.90,19.90,700,16.90,50,"Shenzhen CableCo",4.5,"Shenzhen, Guangdong","Acessorios de Celular","https://1688.com/example5,https://alibaba.com/example5",2026-07-21T10:00:00Z
"LED strip 5m","LED灯带5米","LEDストリップ5m","Tira LED 5m",18.00,3.50,24.99,119.90,99.90,4500,79.90,1,"Shenzhen LEDTech",4.9,"Shenzhen, Guangdong","Eletronicos","https://1688.com/example6,https://alibaba.com/example6",2026-07-21T10:00:00Z
"Fone Bluetooth TWS","蓝牙耳机TWS","ワイヤレスイヤホン","Auriculares Bluetooth",8.50,1.50,29.99,149.90,129.90,5500,89.90,10,"Shenzhen AudioTech",4.7,"Shenzhen, Guangdong","Eletronicos","https://1688.com/example7,https://alibaba.com/example7",2026-07-21T10:00:00Z
"Mouse wireless","无线鼠标","ワイヤレスマウス","Raton inalambrico",5.00,0.90,15.99,69.90,59.90,2200,39.90,10,"Dongguan PeripheralsCo",4.6,"Dongguan, Guangdong","Eletronicos","https://1688.com/example8,https://alibaba.com/example8",2026-07-21T10:00:00Z
"Espatulas de silicone","硅胶铲","シリコンヘラ","Espatulas de silicona",2.50,0.45,12.99,49.90,39.90,1800,34.90,10,"Yiwu KitchenwareCo",4.4,"Yiwu, Zhejiang","Casa e Cozinha","https://1688.com/example9,https://alibaba.com/example9",2026-07-21T10:00:00Z
"Bolsa de couro","真皮包","レザーバッグ","Bolsa de cuero",25.00,4.50,49.99,249.90,199.90,8000,149.90,5,"Guangzhou LeatherCraft",4.3,"Guangzhou, Guangdong","Moda e Acessorios","https://1688.com/example10,https://alibaba.com/example10",2026-07-21T10:00:00Z
